Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,2.56571213682472E-06,-0.00898617590437677,0.00787331270823633,0,0,0,0.0572940346225848,5.76371488808841E-05,-2.91967857828589E-10,1.04712696810588E-09,5.41093307835269E-05,7.36555407278734E-07,0.000101963856036541,0,0,0,0,0,0,package://xarm_new/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://xarm_new/meshes/base_link.STL,,base_link-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,6.24500451351651E-17,-0.00271395581985957,0.0121376391185315,0,0,0,0.125894050792552,7.4611632006739E-05,3.43289062159279E-23,-6.64269776011072E-21,6.85078336247671E-05,5.26192854799441E-06,0.000114012935557025,0,0,0,0,0,0,package://xarm_new/meshes/link_1.STL,1,1,1,1,0,0,0,0,0,0,package://xarm_new/meshes/link_1.STL,,link_1-1,Coordinate System2,Axis2,joint_1,continuous,0,0,0.0335,0,0,0,base_link,0,0,1,,,,,,,,,,,,
link_2,-0.0554999999999998,1.94289029309402E-16,-0.0218000000000002,0,0,0,0.0331006726764936,9.07529641157238E-06,5.1332252732847E-21,-6.9450335888762E-21,3.65815762789294E-05,-2.32242941688522E-21,3.18217460529601E-05,0,0,0,0,0,0,package://xarm_new/meshes/link_2.STL,1,1,1,1,0,0,0,0,0,0,package://xarm_new/meshes/link_2.STL,,link_2-1,Coordinate System3,Axis3,joint_2,continuous,-0.0218000000000002,-0.0214899999999999,0.0278465366697234,3.14159265358979,1.5707963267949,0,link_1,0,0,1,,,,,,,,,,,,
link_3,-0.04783,-2.08166817117217E-16,-0.0127999999999998,0,0,0,0.0750155170933026,8.93762441030407E-06,6.20385459414768E-22,1.6411269460701E-21,0.000105451459777764,4.39000387485689E-22,0.000106155354680136,0,0,0,0,0,0,package://xarm_new/meshes/link_3.STL,1,1,1,1,0,0,0,0,0,0,package://xarm_new/meshes/link_3.STL,,link_3-1,Coordinate System4,Axis4,joint_3,continuous,-0.111,0,-0.0346000000000001,-3.14159265358979,0,0,link_2,0,0,1,,,,,,,,,,,,
link_4,-0.034118144187716,-0.00969792878565746,-0.0213000000000001,0,0,0,0.0395503706902083,1.04545718507469E-05,-5.20431108427383E-07,-1.51809025256161E-22,9.50587650825342E-06,5.3337702474887E-22,1.20784718195145E-05,0,0,0,0,0,0,package://xarm_new/meshes/link_4.STL,1,1,1,1,0,0,0,0,0,0,package://xarm_new/meshes/link_4.STL,,link_4-1,Coordinate System5,Axis5,joint_4,continuous,-0.09566,0,-0.0341,3.14159265358979,0,0,link_3,0,0,1,,,,,,,,,,,,
gripper,0.0139946828525941,0.00192742957865329,0.02917550381288,0,0,0,0.0385295735238804,9.69163246584673E-06,-1.73931159406224E-07,-4.42162259545074E-07,6.90509384330086E-06,-6.12295930459394E-08,8.94113928034664E-06,0,0,0,0,0,0,package://xarm_new/meshes/gripper.STL,1,1,1,1,0,0,0,0,0,0,package://xarm_new/meshes/gripper.STL,,link_5-1,Coordinate System6,Axis6,gripper_r2,continuous,-0.0533,0,-0.0213,1.5707963267949,0,-1.5707963267949,link_4,0,0,-1,,,,,,,,,,,,
gripper_r1,0.00599709527117787,0.000277976211210507,-0.00200000000000016,0,0,0,0.00229207293973417,8.00953403183806E-08,1.97324227951185E-08,-5.97054675517946E-24,3.44895629651293E-07,-2.07940111506613E-24,4.21285301585741E-07,0,0,0,0,0,0,package://xarm_new/meshes/gripper_r1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xarm_new/meshes/gripper_r1.STL,,gripper_part_1-1,Coordinate System7,Axis7,gripper_r1,continuous,-0.00800000000000001,-0.0140000000000066,0.0300000000000017,1.5707963267949,-1.03225494696145,-1.5707963267949,gripper,0,0,-1,,,,,,,,,,,,
end_r,0.0219290452927009,-0.00330817011818113,-0.00200000000000016,0,0,0,0.00143932679187371,3.88004981918465E-08,9.74509543100112E-08,-1.06474581777031E-23,4.00376051789654E-07,3.39920438673816E-24,4.36951586347965E-07,0,0,0,0,0,0,package://xarm_new/meshes/end_r.STL,1,1,1,1,0,0,0,0,0,0,package://xarm_new/meshes/end_r.STL,,gripper_part_2-1,Coordinate System11,Axis11,end_r,continuous,0.0289823339835635,-0.00101208540439066,0.00300000000000004,0,0,1.02714983775265,gripper_r1,0,0,1,,,,,,,,,,,,
gripper_l1,0.00596309600823319,-0.000695635293955915,-0.00200000000000098,0,0,0,0.00229207293973417,7.8637626955029E-08,-1.11384951212612E-09,1.66029242583682E-23,3.46353343014644E-07,-1.73193767662909E-23,4.21285301585741E-07,0,0,0,0,0,0,package://xarm_new/meshes/gripper_l1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xarm_new/meshes/gripper_l1.STL,,gripper_part_1-2,Coordinate System8,Axis8,gripper_l1,continuous,-0.00799999999999931,0.0140000000000048,0.0299999999999994,-1.57079632679489,-0.857447110105399,1.57079632679489,gripper,0,0,1,,,,,,,,,,,,
end_l,0.0219290452927007,0.00330817011818071,-0.00200000000000097,0,0,0,0.00143932679187371,3.88004981918466E-08,-9.74509543100107E-08,-1.70140069102779E-24,4.00376051789654E-07,-5.76581737907008E-24,4.36951586347964E-07,0,0,0,0,0,0,package://xarm_new/meshes/end_l.STL,1,1,1,1,0,0,0,0,0,0,package://xarm_new/meshes/end_l.STL,,gripper_part_2-2,Coordinate System12,Axis12,end_l,continuous,0.0289823339835491,-0.00101208540438016,0.0030000000000008,0,0,-1.20609472258137,gripper_l1,0,0,1,,,,,,,,,,,,
